iter	Passed	Remaining
0	1	164
1	3	161
2	4	150
3	5	139
4	7	140
5	8	137
6	10	137
7	12	142
8	13	139
9	15	136
10	16	134
11	17	131
12	19	130
13	21	130
14	23	131
15	25	131
16	26	130
17	28	128
18	29	126
19	31	124
20	32	122
21	34	121
22	35	118
23	36	116
24	38	114
25	39	112
26	41	111
27	42	109
28	43	107
29	45	105
30	46	104
31	48	103
32	49	101
33	51	99
34	52	98
35	54	97
36	56	95
37	57	93
38	59	92
39	60	91
40	62	89
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	78	72
52	80	70
53	81	69
54	83	67
55	84	66
56	86	65
57	88	63
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	99	53
65	100	51
66	102	50
67	103	48
68	105	47
69	106	45
70	108	44
71	109	42
72	111	41
73	113	39
74	114	38
75	116	36
76	118	35
77	119	33
78	121	32
79	122	30
80	124	29
81	125	27
82	126	25
83	128	24
84	130	22
85	131	21
86	133	19
87	134	18
88	136	16
89	137	15
90	139	13
91	140	12
92	142	10
93	144	9
94	145	7
95	147	6
96	148	4
97	150	3
98	151	1
99	153	0
