iter	Passed	Remaining
0	139	139837
1	141	70696
2	143	47647
3	144	36098
4	146	29128
5	147	24474
6	149	21253
7	151	18760
8	153	16903
9	154	15329
10	156	14072
11	157	13006
12	159	12099
13	160	11327
14	162	10663
15	164	10106
16	167	9687
17	168	9218
18	171	8865
19	173	8492
20	174	8157
21	177	7869
22	178	7595
23	180	7327
24	183	7146
25	185	6931
26	186	6719
27	187	6522
28	189	6341
29	191	6192
30	192	6030
31	194	5886
32	198	5806
33	199	5668
34	200	5541
35	202	5422
36	203	5308
37	205	5203
38	206	5100
39	208	4998
40	209	4906
41	211	4824
42	213	4747
43	214	4665
44	216	4586
45	217	4511
46	218	4438
47	220	4370
48	221	4302
49	223	4238
50	224	4176
51	225	4116
52	227	4061
53	228	4005
54	229	3950
55	231	3896
56	232	3845
57	233	3799
58	235	3751
59	236	3705
60	237	3660
61	239	3617
62	240	3578
63	242	3539
64	243	3500
65	244	3462
66	245	3425
67	247	3388
68	248	3355
69	250	3322
70	251	3289
71	252	3258
72	254	3226
73	255	3197
74	256	3169
75	258	3140
76	259	3112
77	261	3086
78	262	3063
79	264	3038
80	265	3013
81	267	2989
82	267	2958
83	269	2934
84	270	2911
85	271	2890
86	273	2868
87	274	2847
88	276	2831
89	277	2810
90	279	2790
91	280	2770
92	282	2750
93	283	2731
94	284	2711
95	286	2694
96	287	2675
97	288	2658
98	290	2642
99	291	2625
100	293	2608
101	294	2591
102	295	2574
103	296	2557
104	298	2541
105	299	2527
106	301	2513
107	302	2497
108	304	2485
109	305	2469
110	306	2454
111	307	2440
112	309	2426
113	310	2412
114	311	2398
115	313	2385
116	314	2374
117	316	2362
118	317	2352
119	319	2339
120	320	2327
121	321	2313
122	322	2301
123	324	2290
124	325	2278
125	326	2267
126	328	2255
127	329	2246
128	331	2235
129	332	2227
130	334	2216
131	335	2206
132	336	2195
133	338	2185
134	339	2175
135	340	2165
136	342	2155
137	343	2146
138	345	2137
139	346	2128
140	347	2118
141	348	2106
142	350	2098
143	351	2089
144	352	2080
145	354	2073
146	355	2064
147	356	2055
148	358	2047
149	360	2040
150	361	2032
151	362	2024
152	364	2017
153	365	2008
154	367	2001
155	368	1992
156	369	1984
157	370	1976
158	372	1968
159	374	1965
160	375	1956
161	376	1949
162	378	1941
163	379	1934
164	380	1927
165	382	1921
166	384	1916
167	386	1913
168	387	1907
169	389	1901
170	390	1895
171	392	1888
172	393	1880
173	394	1873
174	395	1866
175	397	1859
176	398	1852
177	399	1845
178	401	1840
179	402	1835
180	404	1829
181	405	1823
182	407	1818
183	408	1813
184	410	1806
185	411	1800
186	412	1794
187	414	1788
188	415	1782
189	416	1777
190	418	1773
191	419	1767
192	421	1761
193	422	1755
194	423	1749
195	425	1743
196	426	1737
197	427	1731
198	429	1726
199	430	1721
200	431	1716
201	433	1711
202	434	1705
203	435	1700
204	437	1694
205	438	1689
206	439	1683
207	440	1678
208	442	1674
209	443	1669
210	445	1664
211	447	1661
212	448	1656
213	449	1652
214	451	1647
215	452	1643
216	454	1639
217	455	1634
218	456	1629
219	458	1624
220	459	1620
221	461	1616
222	462	1612
223	464	1607
224	465	1602
225	466	1598
226	468	1593
227	469	1589
228	470	1584
229	472	1580
230	473	1575
231	474	1571
232	476	1567
233	477	1563
234	478	1558
235	479	1553
236	481	1548
237	482	1544
238	483	1540
239	485	1536
240	486	1532
241	488	1529
242	490	1528
243	492	1525
244	493	1521
245	495	1517
246	496	1514
247	498	1510
248	499	1506
249	500	1502
250	502	1498
251	503	1494
252	504	1490
253	506	1486
254	507	1482
255	508	1479
256	510	1475
257	511	1471
258	513	1468
259	514	1464
260	516	1461
261	517	1457
262	519	1454
263	520	1450
264	521	1447
265	523	1443
266	527	1447
267	528	1443
268	532	1446
269	534	1443
270	535	1440
271	536	1436
272	538	1433
273	539	1430
274	541	1427
275	542	1424
